codigo,nome,unidade,frequencia,primeiro_valor,ultimo_valor,origem
156,Fundo de ações-carteira livre - Aplicações em quotas de fundos,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
155,Fundo de ações-carteira livre - Aplicações em títulos privados,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
158,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
146,Fundo de ações-tradicional - Aplicações em títulos privados,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
160,Fundo de investimento-capital estrangeiro - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
159,Fundo de investimento-capital estrangeiro - Aplicações em títulos do Banco Central,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
163,Fundo de investimento-capital estrangeiro - Aplicações em debêntures,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
162,Fundo de investimento-capital estrangeiro - Aplicações em ações,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
164,Fundo de investimento-capital estrangeiro - Aplicações em títulos privados,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
166,Fundo de investimento-capital estrangeiro - Outras aplicações,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
165,Fundo de investimento-capital estrangeiro - Aplicações em quotas de fundos,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
167,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Tesouro Nacional,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
168,Fundo de conversão-capital estrangeiro - Aplicações em títulos do Banco Central,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
170,Fundo de conversão-capital estrangeiro - Aplicações em índices de ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
169,Fundo de conversão-capital estrangeiro - Aplicações em títulos estaduais e municipais,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
171,Fundo de conversão-capital estrangeiro - Aplicações em ações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
173,Fundo de conversão-capital estrangeiro - Aplicações em títulos privados,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
174,Fundo de conversão-capital estrangeiro - Aplicações em quotas de fundos,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
172,Fundo de conversão-capital estrangeiro - Aplicações em debêntures,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
161,Fundo de investimento-capital estrangeiro - Aplicações em índices de ações,u.m.c. (mil),M,1993-05-31,2000-09-01 00:00:00,Sisbacen PESP300
175,Fundo de conversão-capital estrangeiro - Outras aplicações,u.m.c. (mil),M,1993-05-31,2000-08-01 00:00:00,Sisbacen PESP300
